algoritmo;n;tipo;dominio;muestra;tiempo_ms;memoria_kb;correcto
mergesort;100000;ascendente;D7;c;2.63499;1904;1
patiencesort;100000;ascendente;D7;c;14577.7;7592;1
quicksort;100000;ascendente;D7;c;2095.87;2988;1
sort;100000;ascendente;D7;c;0.670626;2016;1
mergesort;100000;descendente;D1;a;2.66151;1904;1
patiencesort;100000;descendente;D1;a;757.007;3320;1
quicksort;100000;descendente;D1;a;716.426;1932;1
sort;100000;descendente;D1;a;0.604458;2016;1
mergesort;100000;descendente;D1;b;2.58127;1904;1
patiencesort;100000;descendente;D1;b;656.42;3320;1
quicksort;100000;descendente;D1;b;1034.72;2196;1
sort;100000;descendente;D1;b;0.705;2016;1
mergesort;100000;descendente;D1;c;2.59921;1904;1
patiencesort;100000;descendente;D1;c;732.608;3320;1
quicksort;100000;descendente;D1;c;878.334;1932;1
sort;100000;descendente;D1;c;0.686645;2016;1
mergesort;100000;descendente;D7;a;2.68757;1904;1
patiencesort;100000;descendente;D7;a;0.715524;2792;1
quicksort;100000;descendente;D7;a;1563.25;2196;1
sort;100000;descendente;D7;a;0.566976;2016;1
mergesort;100000;descendente;D7;b;2.61249;1904;1
patiencesort;100000;descendente;D7;b;0.783129;2792;1
quicksort;100000;descendente;D7;b;1560.35;2196;1
sort;100000;descendente;D7;b;0.583201;2016;1
mergesort;100000;descendente;D7;c;3.27469;1904;1
patiencesort;100000;descendente;D7;c;0.695324;2792;1
quicksort;100000;descendente;D7;c;1574.8;2196;1
sort;100000;descendente;D7;c;0.58772;2016;1
mergesort;100000;aleatorio;D1;a;4.6577;1904;1
patiencesort;100000;aleatorio;D1;a;823.425;3316;1
quicksort;100000;aleatorio;D1;a;220.389;1668;1
sort;100000;aleatorio;D1;a;1.42902;2016;1
mergesort;100000;aleatorio;D1;b;4.36484;1904;1
patiencesort;100000;aleatorio;D1;b;731.81;3316;1
quicksort;100000;aleatorio;D1;b;218.548;1668;1
sort;100000;aleatorio;D1;b;1.61771;2016;1
mergesort;100000;aleatorio;D1;c;4.43667;1904;1
patiencesort;100000;aleatorio;D1;c;679.629;3316;1
quicksort;100000;aleatorio;D1;c;217.857;1668;1
sort;100000;aleatorio;D1;c;1.4944;2012;1
mergesort;100000;aleatorio;D7;a;7.58309;1904;1
patiencesort;100000;aleatorio;D7;a;32.8369;2788;1
quicksort;100000;aleatorio;D7;a;4.63929;1604;1
sort;100000;aleatorio;D7;a;4.28415;2012;1
mergesort;100000;aleatorio;D7;b;7.45903;1904;1
patiencesort;100000;aleatorio;D7;b;32.7924;2788;1
quicksort;100000;aleatorio;D7;b;4.70991;1604;1
sort;100000;aleatorio;D7;b;4.53984;2012;1
mergesort;100000;aleatorio;D7;c;7.37713;1904;1
patiencesort;100000;aleatorio;D7;c;32.4442;2788;1
quicksort;100000;aleatorio;D7;c;4.66181;1604;1
sort;100000;aleatorio;D7;c;4.39306;2012;1
mergesort;10000000;ascendente;D1;a;310.795;137584;1
sort;10000000;ascendente;D1;a;72.1858;118052;1
mergesort;10000000;ascendente;D1;b;308.498;138588;1
sort;10000000;ascendente;D1;b;73.12;119056;1
mergesort;10000000;ascendente;D1;c;309.69;138588;1
sort;10000000;ascendente;D1;c;72.6918;119056;1
mergesort;10000000;ascendente;D7;a;330.999;138588;1
sort;10000000;ascendente;D7;a;100.375;119056;1
mergesort;10000000;ascendente;D7;b;334.108;138588;1
sort;10000000;ascendente;D7;b;97.9746;119056;1
mergesort;10000000;ascendente;D7;c;336.773;138588;1
sort;10000000;ascendente;D7;c;98.6493;119056;1
mergesort;10000000;descendente;D1;a;307.801;138588;1
sort;10000000;descendente;D1;a;74.2108;119056;1
mergesort;10000000;descendente;D1;b;314.906;138588;1
sort;10000000;descendente;D1;b;72.1978;119056;1
mergesort;10000000;descendente;D1;c;308.864;138588;1
sort;10000000;descendente;D1;c;73.7356;119056;1
mergesort;10000000;descendente;D7;a;306.504;138588;1
sort;10000000;descendente;D7;a;93.0139;119056;1
mergesort;10000000;descendente;D7;b;311.697;138588;1
sort;10000000;descendente;D7;b;92.9899;119056;1
mergesort;10000000;descendente;D7;c;307.937;138588;1
sort;10000000;descendente;D7;c;93.5002;119056;1
mergesort;10000000;aleatorio;D1;a;493.281;138588;1
quicksort;10000000;aleatorio;D1;a;-1;-1;0
sort;10000000;aleatorio;D1;a;165.581;119056;1
mergesort;10000000;aleatorio;D1;b;492.207;138588;1
quicksort;10000000;aleatorio;D1;b;-1;-1;0
sort;10000000;aleatorio;D1;b;169.545;119056;1
mergesort;10000000;aleatorio;D1;c;497.586;138588;1
quicksort;10000000;aleatorio;D1;c;-1;-1;0
sort;10000000;aleatorio;D1;c;162.329;119056;1
mergesort;10000000;aleatorio;D7;a;1011.55;138588;1
quicksort;10000000;aleatorio;D7;a;643.85;80060;1
sort;10000000;aleatorio;D7;a;585.305;119056;1
mergesort;10000000;aleatorio;D7;b;1012.63;138588;1
quicksort;10000000;aleatorio;D7;b;651.296;80060;1
sort;10000000;aleatorio;D7;b;590.304;119056;1
mergesort;10000000;aleatorio;D7;c;1008.1;138588;1
quicksort;10000000;aleatorio;D7;c;653.244;80060;1
sort;10000000;aleatorio;D7;c;596.683;119056;1
